Altium Designer Pick and Place Locations
C:\Users\User\Downloads\PCB_Isolator_controller_r4\.\Outputs\Isolator_controller_r4_PNP.csv

========================================================================================================================
File Design Information:

Date:       15.09.21
Time:       11:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C14","36.5000","8.4000","TopLayer","360"
"C13","38.5000","19.9000","TopLayer","90"
"C12","26.1000","26.3000","TopLayer","270"
"C11","26.1000","35.3000","TopLayer","270"
"C10","18.7000","5.5000","TopLayer","270"
"C8","18.7000","9.3000","TopLayer","270"
"C7","26.7000","39.7000","TopLayer","270"
"C9","10.5000","18.7000","TopLayer","270"
"C5","37.9000","36.6000","TopLayer","90"
"C4","39.7000","36.6000","TopLayer","90"
"C3","39.7000","41.6250","TopLayer","90"
"C2","37.6000","41.6250","TopLayer","90"
"C1","18.1000","41.4000","TopLayer","90"
"D2","20.7000","41.7000","TopLayer","90"
"F1","12.5000","41.5000","TopLayer","360"
"SJ4","48.5000","11.5000","TopLayer","360"
"SJ3","48.5000","13.5000","TopLayer","360"
"SJ2","48.5000","15.5000","TopLayer","360"
"SJ1","48.5000","17.5000","TopLayer","360"
"R30","8.3000","24.9000","TopLayer","180"
"R29","6.2500","24.9000","TopLayer","180"
"R2","6.2500","33.9000","TopLayer","180"
"R1","8.3000","33.9000","TopLayer","180"
"R49","30.6000","13.6000","TopLayer","180"
"R48","24.5000","23.1000","TopLayer","360"
"R47","24.5000","32.1000","TopLayer","0"
"R46","25.1000","26.3000","TopLayer","90"
"R45","25.1000","35.3000","TopLayer","90"
"R44","24.5000","22.0000","TopLayer","180"
"R43","24.5000","31.0000","TopLayer","180"
"R42","24.1000","26.3000","TopLayer","270"
"R41","24.1000","35.3000","TopLayer","270"
"R34","30.2000","23.1000","TopLayer","360"
"R33","30.2000","32.1000","TopLayer","360"
"R32","30.2000","22.0000","TopLayer","180"
"R31","30.2000","31.0000","TopLayer","180"
"R28","15.6500","21.1000","TopLayer","180"
"R27","15.6500","30.1000","TopLayer","180"
"R26","15.1500","22.6500","TopLayer","90"
"R25","15.1500","31.6500","TopLayer","90"
"R24","15.1500","26.3500","TopLayer","270"
"R23","15.1500","35.3500","TopLayer","270"
"R22","15.1500","24.5500","TopLayer","270"
"R21","15.1500","33.5500","TopLayer","270"
"R15","18.7000","7.3000","TopLayer","270"
"R7","25.7000","39.7000","TopLayer","90"
"R5","18.7000","11.1000","TopLayer","270"
"R4","24.7000","39.7000","TopLayer","270"
"R16","9.5000","18.7000","TopLayer","90"
"R14","5.3000","26.7000","TopLayer","90"
"R12","7.9750","14.3000","TopLayer","180"
"R11","27.6000","15.4000","TopLayer","0"
"R10","27.6000","14.3000","TopLayer","180"
"R8","18.7000","13.9500","TopLayer","90"
"R6","18.7000","15.8500","TopLayer","90"
"R40","22.4000","27.0000","TopLayer","270"
"R39","20.4000","27.0000","TopLayer","270"
"R38","20.4000","36.0000","TopLayer","270"
"R37","22.4000","36.0000","TopLayer","270"
"R20","11.5000","27.0000","TopLayer","90"
"R19","13.5000","27.0000","TopLayer","90"
"R18","13.5000","36.0000","TopLayer","90"
"R17","11.5000","36.0000","TopLayer","90"
"R13","12.5000","6.0000","TopLayer","180"
"R3","12.5000","9.8000","TopLayer","180"
"R9","8.8000","15.9000","TopLayer","360"
"D1","23.2000","41.1000","TopLayer","270"
"U2","45.0000","38.0000","TopLayer","270"
"D5","21.0000","9.8000","TopLayer","360"
"D17","16.4000","6.0000","TopLayer","360"
"D16","16.4000","9.8000","TopLayer","360"
"Q12","7.8000","27.2000","TopLayer","360"
"Q11","7.8000","36.2000","TopLayer","360"
"D15","7.6500","22.6000","TopLayer","180"
"D14","7.9000","31.6000","TopLayer","180"
"Q5","12.8000","32.1000","TopLayer","360"
"Q10","21.7000","23.1000","TopLayer","360"
"Q9","21.7000","32.1000","TopLayer","360"
"Q8","27.4000","23.1000","TopLayer","360"
"Q7","27.4000","32.1000","TopLayer","360"
"Q6","12.8000","23.1000","TopLayer","360"
"Q4","17.5000","27.0000","TopLayer","270"
"Q3","17.5000","36.0000","TopLayer","270"
"D13","28.4000","26.8000","TopLayer","360"
"D12","28.4000","35.8000","TopLayer","360"
"D11","17.5000","23.4000","TopLayer","270"
"D10","17.5000","32.4000","TopLayer","270"
"D9","21.0000","6.0000","TopLayer","360"
"D4","29.0000","40.2000","TopLayer","360"
"D3","35.1000","36.8000","TopLayer","90"
"Q2","24.8000","15.4000","TopLayer","360"
"Q1","16.4000","15.4000","TopLayer","360"
"D8","12.8000","19.2000","TopLayer","360"
"D7","12.8000","15.4000","TopLayer","360"
"D6","21.1000","15.6000","TopLayer","270"
"U1","36.5000","14.0000","TopLayer","90"
