Altium Designer Pick and Place Locations
C:\MicroRally\Isolator_controller\.\Outputs\Isolator_controller_r5_PNP.csv

========================================================================================================================
File Design Information:

Date:       29.07.22
Time:       14:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C14","66.5000","8.4000","TopLayer","0"
"C13","68.5000","19.9000","TopLayer","90"
"C12","56.1000","26.3000","TopLayer","270"
"C11","56.1000","35.3000","TopLayer","270"
"C10","48.7000","5.5000","TopLayer","270"
"C8","48.7000","9.3000","TopLayer","270"
"C7","56.7000","39.7000","TopLayer","270"
"C9","40.5000","18.7000","TopLayer","270"
"C5","67.9000","36.6000","TopLayer","90"
"C4","69.7000","36.6000","TopLayer","90"
"C3","69.7000","41.6250","TopLayer","90"
"C2","67.6000","41.6250","TopLayer","90"
"C1","48.1000","41.4000","TopLayer","90"
"D2","50.7000","41.7000","TopLayer","90"
"F1","42.5000","41.5000","TopLayer","0"
"SJ4","78.5000","11.5000","TopLayer","0"
"SJ3","78.5000","13.5000","TopLayer","0"
"SJ2","78.5000","15.5000","TopLayer","0"
"SJ1","78.5000","17.5000","TopLayer","0"
"J10","13.0000","25.0000","TopLayer","270"
"R30","38.3000","24.9000","TopLayer","180"
"R29","36.2500","24.9000","TopLayer","180"
"R2","36.2500","33.9000","TopLayer","180"
"R1","38.3000","33.9000","TopLayer","180"
"R49","60.6000","13.6000","TopLayer","180"
"R48","54.5000","23.1000","TopLayer","0"
"R47","54.5000","32.1000","TopLayer","0"
"R46","55.1000","26.3000","TopLayer","90"
"R45","55.1000","35.3000","TopLayer","90"
"R44","54.5000","22.0000","TopLayer","180"
"R43","54.5000","31.0000","TopLayer","180"
"R42","54.1000","26.3000","TopLayer","270"
"R41","54.1000","35.3000","TopLayer","270"
"R34","60.2000","23.1000","TopLayer","0"
"R33","60.2000","32.1000","TopLayer","0"
"R32","60.2000","22.0000","TopLayer","180"
"R31","60.2000","31.0000","TopLayer","180"
"R28","45.6500","21.1000","TopLayer","180"
"R27","45.6500","30.1000","TopLayer","180"
"R26","45.1500","22.6500","TopLayer","90"
"R25","45.1500","31.6500","TopLayer","90"
"R24","45.1500","26.3500","TopLayer","270"
"R23","45.1500","35.3500","TopLayer","270"
"R22","45.1500","24.5500","TopLayer","270"
"R21","45.1500","33.5500","TopLayer","270"
"R15","48.7000","7.3000","TopLayer","270"
"R7","55.7000","39.7000","TopLayer","90"
"R5","48.7000","11.1000","TopLayer","270"
"R4","54.7000","39.7000","TopLayer","270"
"R16","39.5000","18.7000","TopLayer","90"
"R14","35.3000","26.7000","TopLayer","90"
"R12","37.9750","14.3000","TopLayer","180"
"R11","57.6000","15.4000","TopLayer","0"
"R10","57.6000","14.3000","TopLayer","180"
"R8","48.7000","13.9500","TopLayer","90"
"R6","48.7000","15.8500","TopLayer","90"
"R40","52.4000","27.0000","TopLayer","270"
"R39","50.4000","27.0000","TopLayer","270"
"R38","50.4000","36.0000","TopLayer","270"
"R37","52.4000","36.0000","TopLayer","270"
"R20","41.5000","27.0000","TopLayer","90"
"R19","43.5000","27.0000","TopLayer","90"
"R18","43.5000","36.0000","TopLayer","90"
"R17","41.5000","36.0000","TopLayer","90"
"R13","42.5000","6.0000","TopLayer","180"
"R3","42.5000","9.8000","TopLayer","180"
"R9","38.8000","15.9000","TopLayer","0"
"D1","53.2000","41.1000","TopLayer","270"
"U2","75.0000","38.0000","TopLayer","270"
"D5","51.0000","9.8000","TopLayer","0"
"D17","46.4000","6.0000","TopLayer","0"
"D16","46.4000","9.8000","TopLayer","0"
"Q12","37.8000","27.2000","TopLayer","0"
"Q11","37.8000","36.2000","TopLayer","0"
"D15","37.6500","22.6000","TopLayer","180"
"D14","37.9000","31.6000","TopLayer","180"
"Q5","42.8000","32.1000","TopLayer","0"
"Q10","51.7000","23.1000","TopLayer","0"
"Q9","51.7000","32.1000","TopLayer","0"
"Q8","57.4000","23.1000","TopLayer","0"
"Q7","57.4000","32.1000","TopLayer","0"
"Q6","42.8000","23.1000","TopLayer","0"
"Q4","47.5000","27.0000","TopLayer","270"
"Q3","47.5000","36.0000","TopLayer","270"
"D13","58.4000","26.8000","TopLayer","0"
"D12","58.4000","35.8000","TopLayer","0"
"D11","47.5000","23.4000","TopLayer","270"
"D10","47.5000","32.4000","TopLayer","270"
"D9","51.0000","6.0000","TopLayer","0"
"D4","59.0000","40.2000","TopLayer","0"
"D3","65.1000","36.8000","TopLayer","90"
"Q2","54.8000","15.4000","TopLayer","0"
"Q1","46.4000","15.4000","TopLayer","0"
"D8","42.8000","19.2000","TopLayer","0"
"D7","42.8000","15.4000","TopLayer","0"
"D6","51.1000","15.6000","TopLayer","270"
"U1","66.5000","14.0000","TopLayer","90"
